Function,Total_Syscalls,Total_Syscalls_Success,Total_Syscalls_Failed,Min,Max,Average,Stdev,Failure,Context,Increase
7f14767954c5,18,17,1,0.001,16959.918,942.2239444,3997.489442,0,0.055555556,-0.055555556
7f14765b56c4,18,17,1,0.001,16959.918,942.2239444,3997.489442,0,0.055555556,-0.055555556
7f14752aeddd,18,17,1,0.000999999,13.328,0.778888889,3.135562974,0,0.055555556,-0.055555556
7f9ea1479028,72,68,4,0.001,0.022,0.002930556,0.003465428,0,0.055555556,-0.055555556
7f14767333d2,18,17,1,0.002999999,0.568000001,0.040444444,0.132397895,0,0.055555556,-0.055555556
7f14738db14d,18,17,1,0.001,53.981,3.003166667,12.7223901,0,0.055555556,-0.055555556
7f14738d8e50,18,17,1,0.001,53.981,3.003166667,12.7223901,0,0.055555556,-0.055555556
7f147116662a,106,100,6,0.000999999,52.403,1.399773585,6.993008217,0,0.056603774,-0.056603774
7f147116564f,106,100,6,0.000999999,52.403,1.399773585,6.993008217,0,0.056603774,-0.056603774
7f147687d1ac,35,33,2,0.002000001,47.28,2.2938,9.580122109,0,0.057142857,-0.057142857
7f14766dc11a,35,33,2,0.002000001,47.28,2.2938,9.580122109,0,0.057142857,-0.057142857
7f1470e54d71,35,33,2,0,0.033,0.003257143,0.005912812,0,0.057142857,-0.057142857
7f1470ad8729,35,33,2,0,0.033,0.003257143,0.005912812,0,0.057142857,-0.057142857
7f1470add209,35,33,2,0,0.033,0.003257143,0.005912812,0,0.057142857,-0.057142857
7f1470ae488f,35,33,2,0,0.033,0.003257143,0.005912812,0,0.057142857,-0.057142857
7f14750dffec,17,16,1,1.264,3432.956,246.3932353,823.9367754,0,0.058823529,-0.058823529
7f147155e6ed,101,95,6,0.000999999,52.403,1.468306931,7.158679946,0,0.059405941,-0.059405941
7f14752d20fe,16,15,1,0.000999999,13.328,0.876,3.324473232,0,0.0625,-0.0625
7f14710686ae,16,15,1,0.000999999,13.328,0.876,3.324473232,0,0.0625,-0.0625
